Arabic,Franko
سؤال,so2al
مساء,masa2
أسماء,2sma2
عمارة,3marh
سعادة,s3adh
ابداع,ebda3
مشاغب,mosha3′eb
مشغول,msh3′ool
هذا,hatha
ذهب,thhb
منذر,monther
خيال,5yal
مخده,m5dh
شموخ,shomo5
طالب,6alb
مطرود,ma6rood
مشط,msh6
منظار,men6′ar
مظلوم,ma6′loom
حمام,7mam
ساحة,sa7h
مسبح,masb7
قرار,8rar
مقطع,m863
سباق,seba8
صباح,9ba7
رصاص,r9a9
مصير,m9er
راضي,ra9'e
مضوي,m9′we
السلام,alslam
عليكم,3laikom
كيف,kef
حالك,7alk
بدنا,bdna
نروح,nro7
على,3la
اربد,irbid
جامعه,jam3a
مبروك,mbrook
مشتاقلك,meshtaglk
اخير,a5er
الاخبار,ala5bar
احمد,a7md
محمد,m7md
بشار,bshar
رامي,rami
اكرم,akrm
خالد,5ald
عامر,3amr
بحكيلك,b7kelk
طريق,6req
طعام,63am
فندق,fondo8
مطعم,m63m
عشاء,3sha2
غداء,ghda2
وقت,waqt
حفله,7afleh
تعبان,t3ban
جوعان,jo3an
مسرح,masr7
مطار,m6ar
طائره,6a2rh
رحله,r7lh
مغفل,mo3'fl
احد,a7d
اثنين,ethnain
ثﻻثاء,tholatha2
اربعاء,arb3a2
خميس,5mes
جمعه,jom3a
سبت,sabt
برد,brd
سريع,sare3
سنه,sanh
شهر,shhr
يوم,yom
ساعه,sa3ah
دقيقه,dageega
ثانيه,thanyeh
جزء,jozo2
ربع,rob3
نص,no9
ثلث,tholth
وجبه,wajbeh
منسف,mansaf
كبسه,kabseh
رهيب,raheeb
خرافي,5orafi
ايش,esh
في,fe
ما,ma
في,fi
شارع,share3
مدينه,madenh
اكثر,akthr
منشور,mnshwr
عجبني,3jbny
و الله,wallah
تخرجنا,t5rjna
وناسه,wnash
خير,5eer
ماما,mama
عذاب,34ab
معلمات,mu3limat
عندي,3ndy
اقرا,agra
كنت,knt
كذا,k4a
تتحجب,tet7jab
شجعك,shja3ik
الحمدلله,al7mdellh
الحق,el7g
تزعل,tz3l
ربي,rbe
كلمة,klmt
لحضة,l79't
وداع,wda3
كتب,ktb
قادر,8adar
طيب,6eb
حظي,76'y
بعدك,b3dk
هذا,h4a
نصيبي,n9eby
فلي,faly
دمنا,dmna
محبة,mohebt
تخمين,t5meen
ال,al
اكل,akl
موجود,mogoad
اذا,e4a
الله,allah
يا,ya
وحده,w7da
احلى,a7la
و,w
