Arabize,Arabic
bher,بهر
elle,ايلي
elferan,الفيران
blawe,بلاوي
mtzkrteene,متزكرتيني
el7yah,الحياه
3mrk,عمرك
jibal,جبال
eltelfon,التلفون
djawb,دجاوب
admen,ادمين
hmd,حمد
elba8yat,الباقيات
tb3tko,تبعتكوا
sefer,صفر
lesah,لسه
al6re8,الطريق
fat7eh,فاتحه
awsalak,اوصلك
mabent,مابينت
shl8me6,شلقميطه
3mo,عمه
boz,بوز
w83etk,وقعتك
m5bou6,مخبوط
foti,فوتي
38lo,عقلو
2hlk,اهلك
t6b5,تطبخ
swetlk,سويتلك
mwafe8,موافق
ew3ak,اوعك
mot5lfen,متخلفين
msayb,مصايب
7bêêb,حبيب
bl3b,بلعب
la2nha,لانها
rdhom,ردهم
elzakeh,الزاكيه
sb3enat,سبعينات
mo5ta9ara,مختصره
usm,اسم
btib3ateh,بتبعتيه
3'bash,غباش
aleyom,اليوم
salmi,سلمي
aklna,اكلنا
byshbaho,بيشبهه
elyadawi,اليدوي
3yuno,عيونه
behko,بيحكو
bshouf,بشوف
jabti,جبتي
waf8,وافق
tza3'on,تزغون
6'ni,ظني
nehayt,نهاية
alwladh,الولاده
elba$arah,البشره
5line,خليني
yawjh,ياوجه
b3'yer,بغير
b6lbo,بطلبو
zkrtoni,زكرتوني
she5a,شيخه
hibato,حبته
2hdah,اهداه
2ljmal,الجمل
hdool,هدول
27es,احس
winekam,وينكم
sm3t,سمعت
aroo7,اروح
9'hdni,ضهدني
aktr,اكثر
2dneh,الدنيا
oo,و
al3'ba2,الغباء
n3'$,نغش
5aled,خالد
ytrba,يتربى
el9yam,الصيام
whyna,وهينا
elrawdeh,الرواده
motafa2elh,متفائله
mle7eh,مليحه
frhtini,فرحتيني
2b6al,ابطال
edalo,يضلو
a3mlha,اعملها
27kelk,احكيلك
be9'anh,بيضانه
rabe7,رابح
shfthm,شفتهم
madet,مادة
de7eyh,دحية
ar7mne,ارحمني
share3,شارع
el5atbeh,الخاطبه
ghire,غيري
3'ramk,غرامك
teskotn,تسكتن
yb3d,يبعد
5zanko,خزانكو
kalamek,كلامك
dwamkm,دوامكم
dakhalna,دخلنا
na3meh,ناعمه
3ndi,عندي
3fa,عفى
l2eno,لأنو
makenat,ماكينات
so2al,سؤال
dakhleh,داخله
2n3'$k,أنغشك
7ded,حديد
fkena,فكينا
almna6'r,المناظر
t7mmt,تحممت
ma2sawe,مأساوي
isamhak,اسامحك
tsma3o$,تسمعوش
tfakri,تفكري
t7ki,تحكي
mnhom,منهم
el2a5r,الأخر
e5fa2,اخفاء
yw8f,يوقف
y36ekom,يعطيكم
mraw7ah,مروحه
ynj7hum,ينجحهم
as2ilti,اسئلتي
wtarakt,وتركت
yf9l,يفصل
ashuf,اشوف
sban5,سبانخ
batfaqad,بتفقد
tktobili,تكتبيلي
hana,هنا
3nek,عنك
a7drit,احضرت
shofna,شفنا
elkahf,الكهف
azetoh,ازته
fsh,فش
b7sdo,بحسدو
bwrjiki,بورجيكي
metl,متل
7a8era,حقيره
bsbb,بسبب
albage,الباقي
3abdoun,عبدون
la3yonik,لعيونك
bt7zni,بتحزني
enk,انك
wzh8ny,وزهقني
tben,تبين
elkabrah,الكبره
mday8k,مضايقك
roo7y,روحي
ra3ena,راعينا
jeble,جيبلي
$akhs,شخص
t5awth,تخوث
3malna,عملنا
almhm,المهم
badak,بدك
flan,فلان
hawa,هو
2l$3'leh,الشغله
y7a88,يحقق
b9'ahrha,بضهرها
yeje,يجي
7a2,حأ
tsd2i,تصدئي
mslsl,مسلسل
sage6,ساقط
ne7dar,نحضر
jw,جو
bt5al9i,بتخلصي
monasib,مناسب
ts2lna,تسألنا
shaf,شاف
tfahomkm,تفاهمكم
l7a2,لحأ
swarak,صورك
7ywane,حيوانه
elf,يلف
mtsalen,متسلين
5brena,خبرينا
3'er,غير
yak,ياك
shayftk,شايفتك
elhijab,الحجاب
y5af,يخاف
trkona,تركونا
bel7raj,بالاحراج
8areb,قريب
b$ra7lha,بشرحلها
5shneh,خشنه
3'shash,غشاش
8rouda,قروده
bdarhm,بدارهم
ghalyi,غاليي
bl3a6l,بالعاطل
ya5te,يااختي
tmase,تمسي
7setkm,حسيتكم
btdf3e,بتدفعي
eftariti,افتريتي
ynba7,ينبح
2mskoha,امسكوها
93'ereh,صغيره
en24et,انأذيت
ylbasoh,يلبسه
kelmeh,كلمه
alslam,السلام
bteje,بتيجي
ghada,غدا
ynj7k,ينجحك
muslima,مسلمه
2kshef,اكشف
mnzel,منزل
ba3refak,بعرفك
7f9'tna,حفضتنا
bthy2lk,بتهيألك
b8bal,بقبل
elsara7ah,الصراحه
mshan,مشان
m9l7jeh,مصلحجييه
quds,قدس
7anfet,حنفية
hlket,هلكت
6a3ojet,طعوجت
b6lti,بطلتي
twle,طولي
tb3etha,تبعتها
te3lik,تعلك
mwfe,موفي
tfhmne,تفهمني
shayfha,شايفها
bzorat,بزورات
t3alo,تعالو
yemken,يمكن
2lw9'3,الوضع
2bal,أبل
btsr8,بتسرق
mlee7,مليح
bl7arat,بالحارات
mj3d,مجعد
tshte,تشتي
bt5abe,بتخبي
mawjood,موجود
msahrak,مسهرك
samsumo,صمصومه
27tmal,احتمال
bt5l9,بتخلص
bjeeb,بجيب
jmee3,جمييع
elbarakeh,البركه
z7lag,زحلق
ray8,رايق
jam3a,جامعه
lebseh,لبسه
yfra7,يفرح
w$ukrn,وشكرا
7bebt,حبيبة
azra8,ازرق
ne8ashat,نقاشات
karamti,كرامتي
mneh,منيح
daf3ti,دافعتي
b2olak,بئلك
y9ar7o,يصارحو
sertk,سيرتك
monaseb,مناسب
nahfeh,نهفه
b9ra7a,بصراحه
ya5e,ياخي
jebi,جيبي
lothtehn,لوثهين
elmk$of,المكشوف
sof,صف
elwaaldh,الوالده
7yathom,حياتهم
ta5di,تخذي
