Arabic,Franko
يومين,yomeen
ماضي,maady
مساء,masa2
بعشقه,ba3sha2o
ميسر,mysar
دايرة,dawera
محتاجك,mehtagek
عروسة,3arousa
جنبك,gambak
فكرتك,fekretak
بداية,bedaya
بريئة,bare2a
كريمه,kareema
رسائل,rasa2el
اعصب,23aseb
يعطوكي,y36oki
جديدة,gedida
بحكيلك,ba7kilik
طرطور,trtor
بقولك,ba2olek
أغنية,aghnya
غالية,ghaliyaa
متواصل,metwasel
وحشتني,wa7ashteny
متأكدة,mota2akeda
ولا,wala
بكفيك,bkfeek
النهاردة,naharda
اختيارات,ekhteyarat
مميز,momayez
عصبت,3asabit
مفروض,mafroud
بعيد,ba3eed
بكرة,bokra
معاكي,ma3aki
ثابت,thabet
واضح,wad7
غيران,gheeran
مقبول,ma2bool
أغنية,aghnya
روحي,ro7i
تماماً,tamaman
شوي,shway
شدة,shidda
غامضة,ghamda
مكانها,mkanha
دايرة,dawera
بحكيلك,ba7kilek
بشبع,bashba3
اراجيل,aragil
غالية,ghalya
انزل,enzel
تلت,telt
صلاتو,slato
قرفك,8arfek
حبيبتي,7abibti
متجوزة,motgawza
استني,estanni
حلو,helw
صاحبه,9a7bo
بحر,ba7r
وياكي,weyaki
متألقة,mot2alleqa
ستات,setat
صوتي,sawte
خلق,5l8
دقيقة,da2i2a
حبيبتي,7abibti
بقالهم,ba2alhom
محترمة,mohtarama
غالية,ghaliyaa
بيتك,beatk
بتنور,btnwr
محاولات,mo7awalat
متفائلة,motafaa2ela
عشقك,3ash2ak
تطلعي,tetl3i
مكتوب,maktob
انشرولي,onshoreli
حكي,7ki
متواضعة,motwade3a
ضحكة,da7ka
فرقة,fer2a
اخرة,akherat
زكري,zakry
بتعود,bt3wad
فطبول,f6bol
خليتك,5letk
معاكي,ma3aki
اختيارات,ekhteyarat
بداية,bedaya
لهفة,lahfa
مكتوب,maktob
اختيارات,ekhteyarat
بحاول,ba7awel
معايه,ma3aya
محتاج,mehtag
فني,fany
خسرانة,khasrana
مؤثر,mo2asser
متألق,mot2alleq
مرجعنا,mrje3na
مشغوله,mashh3'oule
متألمة,mota2allema
كفاية,kfaya
محتاجك,mehtagak
متواصلة,metwasela
غلبة,ghalba
بديعة,badee3a
غدارة,ghadara
أغاني,aghani
حبيبتي,7abibti
محتاجة,mehtaga
مشغول,mashghool
أمال,omal
بستاهل,bstahl
بعيد,b3eed
عفكره,3fkrh
منتظر,montazer
تستخدميها,tst5dmeha
مجذوب,magzoub
ست,sitt
متلك,mitlak
تائب,ta2eb
بكرة,bokra
لامعان,lama3an
ارجعلي,erga3li
جامد,gamed
عمتي,3mte
عندي,3andi
واضح,wad7
بي,bye
بتحكمك,bto7kmek
الحظ,el76'
تعبانة,ta3bana
مجذوبة,magzooba
متألقة,mot2alla2a
تائبة,ta2eba
معجبة,mo3gaba
لهفة,lahfa
ست,sitt
وقتها,w8tha
احكيلي,e7kily
تسلمي,tislami
ملهم,molhem
فطور,f6our
نروح,nrou7
متشائم,motsha2em
ثبات,sobat
اشعبر,2$3br
حبك,7obik
مقبول,ma2bool
بعشقك,ba3sha2ak
شوق,shoogh
عليا,3alaya
غرقانة,ghar2ana
مثلا,mathaln
اعز,23az
بحر,ba7r
أدبية,adabya
ليه,leh
قولي,2olly
أصولة,asoola
تقريباً,ta2reeban
رايقان,ray2an
عريس,3arees
انتي,enti
غنائي,ghena2y
نص,noss
متلك,metlak
قلبها,albaha
فضة,fadda
فرحه,far7a
بعشقك,ba3sha2ik
بتنامي,btnami
تحفة,to7fa
نعسان,na3san
نص,noss
زفة,zaffa
اشياء,ashya2
محتاجك,mehtagak
لساتكم,lisatekm
نهاية,neheya
انزل,enzel
جنب,ganb
تسكرهم,tskrhm
غالب,ghaleb
كريمه,kareema
ست,sitt
متواضعة,motwade3a
المدربه,elmodrbeh
مبروك,mabrook
بهجة,bahga
واجهيهم,wajhehom
مازال,mazal
شفتهم,shfthom
عيلتكو,3eltko
راحة,raha
اسف,2sf
بكرة,bokra
غلبة,ghalba
غايب,ghayeb
يعطوني,y36oni
ايمانك,2emank
يابوي,yaboi
تحط,t7ot
ضيقة,dayye2a
وصلتني,we9latni
متأخرة,mot2akhra
صورتو,9awarto
ودع,wade3
سلامات,salamat
بريئة,bare2a
ست,sitt
كلنا,kollena
دلوقتي,delwa2ti
وعدك,wa3dak
نفسك,nfsek
تحدي,ta7ady
لامعان,lama3an
محاولات,mo7awalat
المنشور,elman$or
حكاية,7ekaya
لهدرجه,lhdrjh
مقبول,ma2bool
اعطاك,a3tak
متواصل,metwasel
خسرانة,khasrana
سنتين,santain
ذهبي,dahabi
نجومية,nojoomeya
حبك,7obik
بتتخوثي,btt5othi
نجوم,nogoom
فكرتك,fekretik
صاحبيتي,sa7ebti
لحن,la7n
صباح,saba7
الطرفين,altarfen
حطيتيلي,7a6etele
جامد,gamed
حبيبتي,7abibti
يقطع,yg63
وريه,warih
يهنيكوا,yhaneko
يخلص,e5l9
إصرار,esrar
متحيرة,mot7ayera
مطمئن,motma2en
غالية,ghalya
اكل,akel
قدام,oddam
بهمني,bhmni
متين,mateen
كوكب,kawkab
خفيف,5fef
متوقعة,motawake3a
فكرتها,fekratha
جماعه,jma3h
متشائم,motsha2em
مشرف,mosharef
بطيئة,baty2a
أصيل,aseel
متفرقة,motafare2a
شلونكو,$lonko
جامدة,gamda
حد,7ad
حاجة,7aga
غيرانة,gheerana
مكتوبة,maktooba
بنفسجي,banafsegy
لزوم,lzom
بيضه,bedah
مساء,masa2
ازوق,2azok
عروسة,3arousa
استناك,astnak
متواضعة,motwade3a
تتخرج,tet5arag
مشرف,mosharef
قلبها,albaha
ختياره,5tearh
قرارات,qararat
حمراء,hamra
جديدة,gdeeda
دماغ,demagh
غناء,ghena2
محتاجك,mehtagek
مخفية,makhfya
جامد,gamed
جدعة,gad3a
تزغون,tza3'on
تقديرها,ta2deerha
بقالها,ba2alha
كلي,kolly
روحي,ro7i
مستحملة,mesta7mela
بتحب,bit7b
واضح,wad7
قلتلي,gltle
متضرر,motdarer
غدر,ghadr
دايماً,daiman
سامحة,same7a
التلفون,eltelfon
اخوي,a5oe
متأخرة,mot2akhra
متروكة,matrooka
كلنا,kollena
محتاج,mehtag
طلقة,tal2a
اسال,2s2al
فيك,feek
يزم,yazm
جانا,gana
تخبصي,t5b9i
متضرر,motdarer
خمسة,khamsa
مكسوف,meksouf
ظبيهم,6'behom
بئطع,b2at3
سطلت,s6lt
جوا,gowa
شعرية,sha3reya
أغلى,aghla
وياكي,weyaki
تقريباً,ta2reeban
روحي,ro7i
بطيئة,baty2a
شريده,shraideh
تصبح,tesbah
ببلش,bblsh
